rise,down,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.04,-0.06,240.0,0.4358685403758811,0.442019556184428,0.2904136190533854,3.9624304510851696,0.24885844748858446,2022-01-01,2022-07-31
0.09,-0.1,60.0,0.4354417536853248,0.3437186330958733,0.13052966959870688,6.287621507112658,0.20148401826484016,2022-01-01,2022-07-31
0.09,-0.11,60.0,0.4354417536853248,0.3437186330958733,0.13052966959870688,6.287621507112658,0.20148401826484016,2022-01-01,2022-07-31
0.11,-0.02,3.0,0.4347012002881709,0.421100387505561,0.29635696003589285,6.146219547073775,0.1679566210045662,2022-01-01,2022-07-31
0.09,-0.11,120.0,0.43276342177858584,0.34277487306076465,0.1298476202166126,6.26970479319168,0.20136986301369864,2022-01-01,2022-07-31
0.09,-0.11,240.0,0.43276342177858584,0.32786883394043936,0.10051328967241835,6.554747027297967,0.20136986301369864,2022-01-01,2022-07-31
0.08,-0.1,240.0,0.43276342177858584,0.32786883394043936,0.10051328967241835,6.554747027297967,0.20136986301369864,2022-01-01,2022-07-31
0.08,-0.1,120.0,0.43276342177858584,0.34277487306076465,0.1298476202166126,6.26970479319168,0.20136986301369864,2022-01-01,2022-07-31
0.08,-0.11,240.0,0.43276342177858584,0.32786883394043936,0.10051328967241835,6.554747027297967,0.20136986301369864,2022-01-01,2022-07-31
0.08,-0.09,240.0,0.43276342177858584,0.32786883394043936,0.10051328967241835,6.554747027297967,0.20136986301369864,2022-01-01,2022-07-31
0.09,-0.1,120.0,0.43276342177858584,0.34277487306076465,0.1298476202166126,6.26970479319168,0.20136986301369864,2022-01-01,2022-07-31
0.08,-0.11,120.0,0.43276342177858584,0.34277487306076465,0.1298476202166126,6.26970479319168,0.20136986301369864,2022-01-01,2022-07-31
0.09,-0.09,240.0,0.43276342177858584,0.32786883394043936,0.10051328967241835,6.554747027297967,0.20136986301369864,2022-01-01,2022-07-31
0.09,-0.1,240.0,0.43276342177858584,0.32786883394043936,0.10051328967241835,6.554747027297967,0.20136986301369864,2022-01-01,2022-07-31
0.02,-0.01,5.0,0.43250812078787515,0.5406813950230929,0.238996154284751,2.6428892522168828,0.3026731354642313,2022-01-01,2022-07-31
0.01,-0.07,60.0,0.43249893647787974,0.504319347066193,0.24251541242931302,2.5683703663259267,0.3339041095890411,2022-01-01,2022-07-31
0.06,-0.06,120.0,0.43227527196425924,0.4401092778642664,0.23475903258749406,4.806743458515618,0.204337899543379,2022-01-01,2022-07-31
0.07,-0.09,2.0,0.4308458360469389,0.4471103533379129,0.28798112620027416,4.769566509528828,0.2020357686453577,2022-01-01,2022-07-31
0.04,-0.05,240.0,0.43034196514999623,0.4456836084934603,0.2904136190533854,4.170836759194853,0.23150684931506849,2022-01-01,2022-07-31
0.07,-0.08,10.0,0.4303376005069136,0.4457966710452569,0.23983331391718188,5.514929970791249,0.1750380517503805,2022-01-01,2022-07-31
0.05,-0.08,60.0,0.4298036893581404,0.4413769580460653,0.2558065976610141,4.376760163606778,0.22248858447488584,2022-01-01,2022-07-31
0.09,-0.02,10.0,0.42970013117841244,0.3938892520205418,0.22616190583459317,7.472768255021008,0.1459855403348554,2022-01-01,2022-07-31
0.04,-0.07,240.0,0.4288058682232504,0.3899889189581708,0.2773920701874948,5.351062873601757,0.2054794520547945,2022-01-01,2022-07-31
0.07,-0.07,5.0,0.4268590188361048,0.46625119912326685,0.23693080867917812,4.570173954173728,0.2003234398782344,2022-01-01,2022-07-31
0.06,-0.06,3.0,0.42647587781259133,0.45030500150806063,0.33042068675875746,4.190968167248916,0.22598173515981737,2022-01-01,2022-07-31
0.09,-0.01,25.0,0.4261848632495261,0.4197201978578075,0.30971738027182044,5.82477991962516,0.17432458143074583,2022-01-01,2022-07-31
0.03,-0.02,1.0,0.4259885832815422,0.52512123192342,0.24757191902703388,2.782994160104665,0.2914916286149163,2022-01-01,2022-07-31
0.03,-0.03,10.0,0.42543388413035516,0.5087895195421365,0.25757234197474804,3.089128292336707,0.27068112633181124,2022-01-01,2022-07-31
0.11,-0.05,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.1,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.06,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.07,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.07,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.06,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.08,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.08,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.09,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.09,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.05,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.1,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.03,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.11,-0.11,960.0,0.42533828672257834,0.3364031247933059,0.10271187431572001,6.786696185221992,0.18630136986301368,2022-01-01,2022-07-31
0.11,-0.04,1440.0,0.42533828672257834,0.35163498157377454,0.08427245766765529,6.492715239858721,0.1863013698630137,2022-01-01,2022-07-31
0.02,-0.05,5.0,0.4238439818389934,0.5460913879254492,0.2613552219431058,2.4566545605339476,0.3159341704718417,2022-01-01,2022-07-31
0.1,-0.01,25.0,0.42287248840752184,0.42241169272037815,0.3037322713517578,5.644122934621196,0.17736872146118723,2022-01-01,2022-07-31
0.1,-0.11,60.0,0.42035593184306475,0.3420143541243163,0.13401761323171454,6.6133659109027905,0.18584474885844748,2022-01-01,2022-07-31
0.1,-0.11,120.0,0.42035593184306475,0.33731466618190736,0.1326878514408409,6.705507638334965,0.18584474885844748,2022-01-01,2022-07-31
0.1,-0.11,240.0,0.42035593184306475,0.3183718503969585,0.10271187431571988,7.104478828090504,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.11,30.0,0.42035593184306475,0.3418998181454773,0.1340176132317144,6.6155813795805285,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.11,60.0,0.42035593184306475,0.3420143541243163,0.13401761323171454,6.6133659109027905,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.11,120.0,0.42035593184306475,0.33731466618190736,0.1326878514408409,6.705507638334965,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.11,240.0,0.42035593184306475,0.3183718503969585,0.10271187431571988,7.104478828090504,0.18584474885844748,2022-01-01,2022-07-31
0.1,-0.1,60.0,0.42035593184306475,0.3420143541243163,0.13401761323171454,6.6133659109027905,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.1,240.0,0.42035593184306475,0.3183718503969585,0.10271187431571988,7.104478828090504,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.1,120.0,0.42035593184306475,0.33731466618190736,0.1326878514408409,6.705507638334965,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.1,30.0,0.42035593184306475,0.3418998181454773,0.1340176132317144,6.6155813795805285,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.1,60.0,0.42035593184306475,0.3420143541243163,0.13401761323171454,6.6133659109027905,0.18584474885844748,2022-01-01,2022-07-31
0.1,-0.1,120.0,0.42035593184306475,0.33731466618190736,0.1326878514408409,6.705507638334965,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.09,240.0,0.42035593184306475,0.3183718503969585,0.10271187431571988,7.104478828090504,0.18584474885844748,2022-01-01,2022-07-31
0.1,-0.1,240.0,0.42035593184306475,0.3183718503969585,0.10271187431571988,7.104478828090504,0.18584474885844748,2022-01-01,2022-07-31
0.1,-0.09,240.0,0.42035593184306475,0.3183718503969585,0.10271187431571988,7.104478828090504,0.18584474885844748,2022-01-01,2022-07-31
0.11,-0.1,15.0,0.41998447085226825,0.3348531416140173,0.1416159886403221,6.75817133677523,0.18558789954337898,2022-01-01,2022-07-31
0.11,-0.11,15.0,0.41998447085226825,0.3348531416140173,0.1416159886403221,6.75817133677523,0.18558789954337898,2022-01-01,2022-07-31
0.04,-0.08,25.0,0.41875711400624366,0.44863709147195435,0.36540792552217893,4.290285655006414,0.21756088280060884,2022-01-01,2022-07-31
0.01,-0.05,120.0,0.41862728005823463,0.5302210059254718,0.2696880034420646,2.406511486804809,0.32808219178082193,2022-01-01,2022-07-31
0.07,-0.01,25.0,0.41816641493752066,0.44965146538314865,0.21344745601380227,4.137963651518973,0.22474315068493153,2022-01-01,2022-07-31
0.06,-0.06,60.0,0.41766231277938076,0.44398685557237866,0.2392594986118197,4.674196545136359,0.20125570776255708,2022-01-01,2022-07-31
0.02,-0.04,240.0,0.4168734268064645,0.4894727375700819,0.27067804442165966,2.9419179873116197,0.28949771689497716,2022-01-01,2022-07-31
0.04,-0.02,1.0,0.4160770119569217,0.49566373137073133,0.34132229886530596,3.103394798326896,0.27048896499238967,2022-01-01,2022-07-31
0.05,-0.05,25.0,0.4155765041163555,0.4551319699839307,0.34386520872430626,4.048251083503842,0.22555175038051753,2022-01-01,2022-07-31
0.1,-0.01,20.0,0.4153518699355647,0.41151749095339757,0.30775576817217815,5.870931393462711,0.17191780821917807,2022-01-01,2022-07-31
0.01,-0.04,1440.0,0.41461608378986076,0.544740789946676,0.25624439997770915,2.1046272162030464,0.36164383561643837,2022-01-01,2022-07-31
0.02,-0.04,1440.0,0.41461608378986076,0.544740789946676,0.25624439997770915,2.1046272162030464,0.36164383561643837,2022-01-01,2022-07-31
0.01,-0.1,240.0,0.4121857536341777,0.4825802912367632,0.28855452356265043,2.7548486033623303,0.3100456621004566,2022-01-01,2022-07-31
0.01,-0.04,960.0,0.41094407419373963,0.488972219538908,0.2802013428753726,2.7066602105948068,0.3105022831050228,2022-01-01,2022-07-31
0.01,-0.03,960.0,0.41088159065251423,0.4910166404811707,0.24537034209014663,2.6482470256539923,0.31598173515981737,2022-01-01,2022-07-31
0.05,-0.08,10.0,0.410852157443937,0.4376897331269474,0.2530954588668216,5.099453021485805,0.1840753424657534,2022-01-01,2022-07-31
0.02,-0.06,5.0,0.4104979592208969,0.5402986900240898,0.32813619749605083,2.486491067526405,0.3055555555555555,2022-01-01,2022-07-31
0.03,-0.09,1.0,0.41043543393908494,0.4784469208965774,0.29882081338608624,3.2948881756194974,0.2603576864535769,2022-01-01,2022-07-31
0.03,-0.08,120.0,0.41022795385174016,0.4581534749231077,0.35896510354837985,3.398463169402189,0.2634703196347032,2022-01-01,2022-07-31
0.06,-0.05,20.0,0.4096784683295171,0.4481237787612062,0.40175911160661015,3.59769295576344,0.2541095890410959,2022-01-01,2022-07-31
0.09,-0.06,10.0,0.4093039182687544,0.41099327717596956,0.30923012507637904,7.744334342858631,0.1285958904109589,2022-01-01,2022-07-31
0.05,-0.07,1.0,0.40919156988818867,0.48406826464012537,0.26519953770521193,3.1157455875175653,0.2713051750380518,2022-01-01,2022-07-31
0.02,-0.02,3.0,0.40850764030031333,0.5212779382570288,0.2529039575572781,2.606763444344736,0.30062785388127855,2022-01-01,2022-07-31
0.07,-0.08,5.0,0.4077227814814478,0.45273966623435535,0.2560670460338369,5.013116443436859,0.17964231354642313,2022-01-01,2022-07-31
0.08,-0.07,240.0,0.40685188912645626,0.348093355881962,0.13183590243311671,6.899391800118715,0.16940639269406393,2022-01-01,2022-07-31
0.09,-0.08,240.0,0.40685188912645626,0.348093355881962,0.13183590243311671,6.899391800118715,0.16940639269406393,2022-01-01,2022-07-31
0.09,-0.07,240.0,0.40685188912645626,0.348093355881962,0.13183590243311671,6.899391800118715,0.16940639269406393,2022-01-01,2022-07-31
0.08,-0.08,240.0,0.40685188912645626,0.348093355881962,0.13183590243311671,6.899391800118715,0.16940639269406393,2022-01-01,2022-07-31
0.05,-0.08,3.0,0.4060040397335328,0.45583786396454323,0.36914569873845127,3.6696966328944547,0.24271118721461188,2022-01-01,2022-07-31
0.06,-0.03,5.0,0.4058377214044676,0.4917098545590575,0.3028981045833493,2.9938529818710466,0.2756849315068493,2022-01-01,2022-07-31
0.03,-0.02,30.0,0.4058223632043619,0.5135856944885046,0.3025369756389024,2.5978342533348906,0.30416666666666664,2022-01-01,2022-07-31
0.01,-0.07,120.0,0.40521022054963685,0.5079492974527168,0.3493628135032387,2.197541134664656,0.363013698630137,2022-01-01,2022-07-31
0.06,-0.08,10.0,0.4045719228722706,0.4300875783515504,0.2538253746544227,5.715153305463155,0.16459284627092846,2022-01-01,2022-07-31
0.09,-0.09,60.0,0.4044669006667919,0.3701765416628039,0.14174229439778252,6.497936346736919,0.16815068493150684,2022-01-01,2022-07-31
0.09,-0.07,120.0,0.4042387326368489,0.34612260880292445,0.12890909483581203,8.525715088231081,0.136986301369863,2022-01-01,2022-07-31
0.03,-0.02,2.0,0.40316818307169905,0.53237714566549,0.30497074213124187,2.5938110192022585,0.2919634703196347,2022-01-01,2022-07-31
0.05,-0.08,120.0,0.40091831719293014,0.45499777893211624,0.31936350396964,3.254138578865113,0.27077625570776254,2022-01-01,2022-07-31
0.09,-0.09,120.0,0.40056122984075,0.3672972642791246,0.13258659763191122,6.4900421049203985,0.16803652968036528,2022-01-01,2022-07-31
0.08,-0.09,120.0,0.40056122984075,0.3672972642791246,0.13258659763191122,6.4900421049203985,0.16803652968036528,2022-01-01,2022-07-31
0.09,-0.08,120.0,0.40056122984075,0.3672972642791246,0.13258659763191122,6.4900421049203985,0.16803652968036528,2022-01-01,2022-07-31
0.08,-0.08,120.0,0.40056122984075,0.3672972642791246,0.13258659763191122,6.4900421049203985,0.16803652968036528,2022-01-01,2022-07-31
0.05,-0.03,25.0,0.3983994509847595,0.47677321796795097,0.3360701640983417,3.3797607059679553,0.2472412480974125,2022-01-01,2022-07-31
0.11,-0.08,15.0,0.3980899322662955,0.3447228337902866,0.14123352656125693,9.53229657816444,0.1211472602739726,2022-01-01,2022-07-31
