rise,down,freq,ma_window,total_return,yearly_vol,maxdrawdown,sharpe,max_loss_period,hold_time,start_date,end_date
0.055,-0.065,15.0,50,2.847835310670801,0.7191352793616446,0.6101286896826035,1.995101497252263,0.650513698630137,1.9849029680365295,2020-01-01,2022-07-31
0.05,-0.07,30.0,100,2.847639805506721,0.7283915296760569,0.7182347694212106,2.3439283594929394,0.6918949771689498,1.6679223744292238,2020-01-01,2022-07-31
0.05,-0.085,15.0,0,2.8434885650866786,0.9305599979741096,0.7695538495012996,1.2022596349310732,0.9061643835616439,2.5416095890410957,2020-01-01,2022-07-31
0.045,-0.075,30.0,50,2.843331632093149,0.7422674207357153,0.5928512647073966,1.8927760496414077,0.6812214611872146,2.0238013698630137,2020-01-01,2022-07-31
0.055,-0.1,30.0,50,2.8242495734484048,0.8960733434645817,0.7367541368530577,1.4638966537766336,1.382876712328767,2.153025114155251,2020-01-01,2022-07-31
0.06,-0.075,15.0,50,2.821305087871723,0.7497913064108113,0.5287789944846413,1.8188197362285332,0.6509132420091324,2.068807077625571,2020-01-01,2022-07-31
0.05,-0.065,30.0,50,2.8057651206453085,0.7031500006663111,0.5928512647073966,2.014630674093615,0.6518835616438355,1.9806506849315069,2020-01-01,2022-07-31
0.065,-0.07,30.0,100,2.802539773328725,0.7416454853078195,0.718234769421209,2.099074439584955,0.6846461187214612,1.8002283105022832,2020-01-01,2022-07-31
0.07,-0.075,30.0,50,2.7998620652089072,0.8620119024723616,0.858946798464971,1.5092007506753105,1.4276826484018263,2.1521689497716894,2020-01-01,2022-07-31
0.055,-0.075,15.0,100,2.7908422124096495,0.7133445703566509,0.5413259418924294,2.334965903626857,0.6810787671232876,1.6755422374429223,2020-01-01,2022-07-31
0.085,-0.095,30.0,100,2.788324751888394,1.0503085870214395,1.8626598199132598,1.3560605487992767,1.559189497716895,1.9577054794520548,2020-01-01,2022-07-31
0.095,-0.085,30.0,50,2.784448308370665,1.03342205833524,1.3240834638426848,1.2812001285147483,1.559189497716895,2.103025114155251,2020-01-01,2022-07-31
0.065,-0.07,15.0,50,2.7758443923624174,0.7263249166221124,0.5283939577145425,1.8717287588067109,0.6483162100456621,2.041837899543379,2020-01-01,2022-07-31
0.055,-0.07,30.0,0,2.7748348148533784,0.8626750946706239,1.1109561676703272,1.265384527425842,0.7952625570776255,2.5419520547945207,2020-01-01,2022-07-31
0.09,-0.1,15.0,0,2.7705509809911097,1.3391318308224907,2.9097590444020454,0.82730187901399,1.5591609589041096,2.500799086757991,2020-01-01,2022-07-31
0.06,-0.085,15.0,50,2.7650621155941417,0.8294636558641487,0.6771804129531154,1.621496477926833,0.8583047945205479,2.0558504566210045,2020-01-01,2022-07-31
0.05,-0.075,30.0,0,2.761891209467416,0.9333404585961957,1.114648553340368,1.1641236728570432,1.296689497716895,2.5419520547945207,2020-01-01,2022-07-31
0.075,-0.075,15.0,100,2.761255567112647,0.8423524715979801,0.7644480537473983,1.7582103693533004,1.0436929223744291,1.864412100456621,2020-01-01,2022-07-31
0.085,-0.095,30.0,0,2.7594093526902865,1.2999569833273987,2.990413957794934,0.8487089659217459,1.559189497716895,2.5010844748858445,2020-01-01,2022-07-31
0.06,-0.06,30.0,50,2.752308798921297,0.7069807643746757,0.6516482514950899,1.9097880365391768,0.6516552511415525,2.038470319634703,2020-01-01,2022-07-31
0.075,-0.075,30.0,50,2.742886470782708,0.8635819756979847,0.8233183029765883,1.4628819235963313,1.4288812785388127,2.171175799086758,2020-01-01,2022-07-31
0.05,-0.08,30.0,100,2.7420422220516136,0.8101462182876837,0.8068295170665543,2.011351106169616,1.1277397260273971,1.6827625570776255,2020-01-01,2022-07-31
0.06,-0.1,30.0,50,2.726602469111477,0.8990021838166377,0.772200891001281,1.4097626372583325,1.382876712328767,2.1513698630136986,2020-01-01,2022-07-31
0.075,-0.08,15.0,100,2.724367175591614,0.8397735920475303,0.6782572380054774,1.7366199720294968,1.2509988584474885,1.868093607305936,2020-01-01,2022-07-31
0.065,-0.08,30.0,50,2.722818962295436,0.8430771617597355,0.8068295170665563,1.5386252742374877,1.4269977168949772,2.099029680365297,2020-01-01,2022-07-31
0.055,-0.085,15.0,100,2.7219852909566185,0.7942526666845163,0.66201467481608,2.0462405210361205,0.8676084474885845,1.6748287671232875,2020-01-01,2022-07-31
0.05,-0.075,15.0,0,2.7208227833767786,0.8556941787581239,0.8217884781133404,1.2510447298652712,0.719263698630137,2.5416095890410957,2020-01-01,2022-07-31
0.045,-0.07,30.0,50,2.717596415917568,0.7143259695254915,0.5928512647073966,1.9074907271515156,0.6837899543378996,1.9944634703196347,2020-01-01,2022-07-31
0.095,-0.095,15.0,100,2.7148764369185474,1.0869702642879258,1.971133053840525,1.3027750486937522,1.5591609589041096,1.9171803652968036,2020-01-01,2022-07-31
0.065,-0.085,15.0,50,2.714228563490483,0.8297406872779532,0.6771804129531154,1.5903603059995486,0.8604166666666666,2.0568778538812786,2020-01-01,2022-07-31
0.09,-0.095,15.0,100,2.6962458743029214,1.0896513638461622,1.8846409822427246,1.2674079701346879,1.5591609589041096,1.9523401826484017,2020-01-01,2022-07-31
0.06,-0.075,30.0,100,2.6933254021356396,0.82155694904748,0.8589467984649715,1.825803971685986,1.4276826484018263,1.7955479452054794,2020-01-01,2022-07-31
0.065,-0.06,30.0,100,2.685495365024341,0.7352937360641468,0.861429906904438,2.072817245487169,0.9732876712328766,1.761986301369863,2020-01-01,2022-07-31
0.065,-0.075,15.0,50,2.683947658423036,0.752034999794043,0.5531442250454404,1.7194379141614695,0.6509132420091324,2.0756278538812785,2020-01-01,2022-07-31
0.04,-0.075,15.0,50,2.680757974402797,0.7446505430788936,0.6678641613393197,1.7951437853867656,0.6838184931506849,2.005422374429224,2020-01-01,2022-07-31
0.05,-0.1,30.0,50,2.678394164416306,0.8916283786812862,0.7367541368530577,1.4094900894249496,1.382876712328767,2.1312214611872147,2020-01-01,2022-07-31
0.06,-0.085,30.0,50,2.674310246710022,0.8208831665817918,0.7736378364864676,1.5689237797670883,0.8603881278538813,2.07648401826484,2020-01-01,2022-07-31
0.055,-0.08,30.0,100,2.671566284775134,0.8109955758981491,0.8068295170665543,1.9492064095262798,1.3379566210045661,1.690011415525114,2020-01-01,2022-07-31
0.085,-0.085,30.0,50,2.6590375323254754,0.9255185487317016,1.3584785488810618,1.3451107800703992,1.559189497716895,2.135901826484018,2020-01-01,2022-07-31
0.085,-0.08,15.0,50,2.657006817767237,0.8671604951842493,0.9203851008155506,1.3997138800414008,1.3828481735159817,2.1890410958904107,2020-01-01,2022-07-31
0.055,-0.09,30.0,50,2.653309210110066,0.823289426480838,0.7736378364864678,1.5695264031764533,0.6852739726027397,2.053367579908676,2020-01-01,2022-07-31
0.055,-0.075,15.0,0,2.6500833209630628,0.8508213780649597,0.6911225327648838,1.2254971195198117,0.6707762557077626,2.5416095890410957,2020-01-01,2022-07-31
0.08,-0.085,30.0,50,2.6391268306910756,0.9006391418250184,1.100907925652471,1.372688338178815,1.559189497716895,2.134703196347032,2020-01-01,2022-07-31
0.085,-0.075,15.0,50,2.631982814118972,0.8727145219822182,0.9420361615957322,1.3595920789999432,1.5591609589041096,2.2182077625570775,2020-01-01,2022-07-31
0.055,-0.075,30.0,0,2.628504482198446,0.9345275349018011,1.114648553340368,1.1064945143108542,1.3320205479452054,2.5419520547945207,2020-01-01,2022-07-31
